Year,Value
12/31/1978,207.83
1/31/1979,227.27
2/28/1979,245.67
3/30/1979,242.05
3/31/1979,242.05
4/30/1979,239.16
5/31/1979,257.62
6/29/1979,279.07
6/30/1979,279.07
7/31/1979,294.74
8/31/1979,300.82
9/28/1979,355.11
9/30/1979,355.11
10/31/1979,391.66
11/30/1979,391.99
12/31/1979,455.08
1/31/1980,675.31
2/29/1980,665.32
3/31/1980,553.58
4/30/1980,517.41
5/30/1980,513.82
5/31/1980,513.82
6/30/1980,600.72
7/31/1980,644.28
8/29/1980,627.15
8/31/1980,627.15
9/30/1980,673.63
10/31/1980,661.15
11/28/1980,623.46
11/30/1980,623.46
12/31/1980,594.92
1/30/1981,557.39
1/31/1981,557.39
2/27/1981,499.76
2/28/1981,499.76
3/31/1981,498.76
4/30/1981,495.8
5/29/1981,479.7
5/31/1981,479.7
6/30/1981,460.76
7/31/1981,409.28
8/31/1981,410.16
9/30/1981,443.75
10/30/1981,437.75
10/31/1981,437.75
11/30/1981,413.37
12/31/1981,410.09
1/29/1982,384.13
1/31/1982,384.13
2/26/1982,374.13
2/28/1982,374.13
3/31/1982,330.25
4/30/1982,350.34
5/31/1982,333.82
6/30/1982,314.98
7/30/1982,338.97
7/31/1982,338.97
8/31/1982,364.23
9/30/1982,437.31
10/29/1982,422.15
10/31/1982,422.15
11/30/1982,414.91
12/31/1982,444.29
1/31/1983,481.29
2/28/1983,491.2
3/31/1983,419.7
4/29/1983,432.88
4/30/1983,432.88
5/31/1983,438.01
6/30/1983,412.84
7/29/1983,422.72
7/31/1983,422.72
8/31/1983,416.24
9/30/1983,411.8
10/31/1983,393.58
11/30/1983,381.66
12/30/1983,388.34
12/31/1983,388.34
1/31/1984,370.89
2/29/1984,385.92
3/30/1984,394.26
3/31/1984,394.26
4/30/1984,381.36
5/31/1984,377.4
6/29/1984,377.67
6/30/1984,377.67
7/31/1984,347.47
8/31/1984,347.68
9/28/1984,341.09
9/30/1984,341.09
10/31/1984,340.17
11/30/1984,341.18
12/31/1984,320.16
1/31/1985,302.79
2/28/1985,299.1
3/29/1985,303.94
3/31/1985,303.94
4/30/1985,325.27
5/31/1985,316.37
6/28/1985,316.49
6/30/1985,316.49
7/31/1985,317.22
8/30/1985,329.79
8/31/1985,329.79
9/30/1985,323.35
10/31/1985,325.84
11/29/1985,325.3
11/30/1985,325.3
12/31/1985,321.88
1/31/1986,345.38
2/28/1986,338.89
3/31/1986,345.7
4/30/1986,340.44
5/30/1986,342.38
5/31/1986,342.38
6/30/1986,342.72
7/31/1986,348.34
8/29/1986,376.59
8/31/1986,376.59
9/30/1986,417.73
10/31/1986,423.51
11/28/1986,397.55
11/30/1986,397.55
12/31/1986,390.92
1/30/1987,408.26
1/31/1987,408.26
2/27/1987,401.11
2/28/1987,401.11
3/31/1987,408.91
4/30/1987,438.35
5/29/1987,460.23
5/31/1987,460.23
6/30/1987,449.59
7/31/1987,450.52
8/31/1987,461.15
9/30/1987,460.35
10/30/1987,465.35
10/31/1987,465.35
11/30/1987,467.57
12/31/1987,486.24
1/29/1988,476.58
1/31/1988,476.58
2/29/1988,442.07
3/31/1988,443.61
4/29/1988,451.55
4/30/1988,451.55
5/31/1988,451.07
6/30/1988,451.33
7/29/1988,437.63
7/31/1988,437.63
8/31/1988,431.28
9/30/1988,413.45
10/31/1988,406.78
11/30/1988,420.17
12/30/1988,419.05
12/31/1988,419.05
1/31/1989,404.01
2/28/1989,387.51
3/31/1989,390.15
4/28/1989,384.4
4/30/1989,384.4
5/31/1989,371.05
6/30/1989,367.6
7/31/1989,375.04
8/31/1989,365.14
9/29/1989,361.75
9/30/1989,361.75
10/31/1989,366.88
11/30/1989,394.26
12/29/1989,409.39
12/31/1989,409.39
1/31/1990,410.11
2/28/1990,416.81
3/30/1990,393.06
3/31/1990,393.06
4/30/1990,374.24
5/31/1990,369.05
6/29/1990,352.33
6/30/1990,352.33
7/31/1990,362.53
8/31/1990,394.73
9/28/1990,389.32
9/30/1990,389.32
10/31/1990,380.74
11/30/1990,381.72
12/31/1990,376.95
1/31/1991,383.64
2/28/1991,363.83
3/29/1991,363.33
3/31/1991,363.33
4/30/1991,358.38
5/31/1991,356.95
6/28/1991,366.72
6/30/1991,366.72
7/31/1991,367.68
8/30/1991,356.3
8/31/1991,356.3
9/30/1991,348.74
10/31/1991,358.69
11/29/1991,360.17
11/30/1991,360.17
12/31/1991,361.72
1/31/1992,354.45
